"res";"dat";"var";"ver";"access_date";"archive_name";"access_url";"default_var";"default_res";"default_ver";"dat_name";"type";"var_name";"licence";"url";"citation";"public";"comment";"API"
"species";"pbdb";"occs";"20191122";20191122;"pbdb_occs_20191122_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare"
"species";"pbdb";"occs";"20200217";20200217;"pbdb_occs_20200217_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare"
"species";"pbdb";"occs";"20200623";20200623;"pbdb_occs_20200623_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare"
"species";"pbdb";"occs";"20200625";20200625;"pbdb_occs_20200625_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare"
"species";"pbdb";"occs";"20200626";20200626;"pbdb_occs_20200626_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare"
"species";"pbdb";"occs";"20200807";20200807;"pbdb_occs_20200807_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare"
"species";"pbdb";"occs";"20200815";20200815;"pbdb_occs_20200815_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare"
"species";"pbdb";"occs";"20200816";20200816;"pbdb_occs_20200816_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare"
"species";"pbdb";"occs";"20200817";20200817;"pbdb_occs_20200817_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare"
"species";"pbdb";"occs";"20200905";20200905;"pbdb_occs_20200905_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare"
"species";"pbdb";"occs";"20200906";20200906;"pbdb_occs_20200906_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare"
"species";"pbdb";"occs";"20200907";20200907;"pbdb_occs_20200907_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare"
"species";"pbdb";"occs";"20200909";20200909;"pbdb_occs_20200909_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare,refattr,entname"
"species";"pbdb";"occs";"20200910";20200910;"pbdb_occs_20200910_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare,refattr,entname"
"species";"pbdb";"occs";"20200911";20200911;"pbdb_occs_20200911_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare,refattr,entname"
"species";"pbdb";"occs";"20200913";20200913;"pbdb_occs_20200913_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare,refattr,entname"
"species";"pbdb";"occs";"20200914";20200914;"pbdb_occs_20200914_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare,refattr,entname"
"species";"pbdb";"occs";"20200915";20200915;"pbdb_occs_20200915_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare,refattr,entname"
"species";"pbdb";"occs";"20200916";20200916;"pbdb_occs_20200916_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare,refattr,entname"
"species";"pbdb";"occs";"20200917";20200917;"pbdb_occs_20200917_species.zip";"pbdb/occs";TRUE;TRUE;FALSE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare,refattr,entname"
"species";"pbdb";"occs";"20200918";20200918;"pbdb_occs_20200918_species.zip";"pbdb/occs";TRUE;TRUE;TRUE;"Paleobiology Database";"data.frame";"Raw species occurrences";"CC-BY";"https://paleobiodb.org/";"Please remember to acknowledge the Paleobiology Database (http://paleobiodb.org) in your publication.";1;"";"https://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&interval=Ediacaran,Holocene&show=class,classext,genus,subgenus,coll,coords,loc,paleoloc,strat,stratext,lith,env,ref,crmod,timebins,timecompare,refattr,entname"
